2024-08-16 18:05:44 INFO Статус код ответа от Аршин: 200
2024-08-16 18:07:24 INFO Статус код ответа от Аршин: 200
2024-08-16 18:12:21 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1083358893 bytes read, 6408193097 more expected)', IncompleteRead(1083358893 bytes read, 6408193097 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:17:24 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080065700 bytes read, 5328128082 more expected)', IncompleteRead(1080065700 bytes read, 5328128082 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:22:30 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080032932 bytes read, 4248095826 more expected)', IncompleteRead(1080032932 bytes read, 4248095826 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:27:35 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080491684 bytes read, 3167604818 more expected)', IncompleteRead(1080491684 bytes read, 3167604818 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:32:47 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080409764 bytes read, 2087195730 more expected)', IncompleteRead(1080409764 bytes read, 2087195730 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:37:43 ERROR Произошла ошибка: ('Connection broken: IncompleteRead(1080360612 bytes read, 1006835794 more expected)', IncompleteRead(1080360612 bytes read, 1006835794 more expected)). Повторение скачивания через 10 секунд...
2024-08-16 18:42:36 INFO Файл poverki.snapshot.20240801.csv.zip был скачан успешно
2024-08-16 19:25:17 INFO Файл poverki.delta.20240320--20240321.csv добавлен в БД
2024-08-16 19:25:35 INFO Файл poverki.delta.20240321--20240322.csv добавлен в БД
2024-08-16 19:25:53 INFO Файл poverki.delta.20240322--20240323.csv добавлен в БД
2024-08-16 19:26:08 INFO Файл poverki.delta.20240323--20240324.csv добавлен в БД
2024-08-16 19:26:12 INFO Файл poverki.delta.20240324--20240325.csv добавлен в БД
2024-08-16 19:26:52 INFO Файл poverki.delta.20240325--20240326.csv добавлен в БД
2024-08-16 19:27:21 INFO Файл poverki.delta.20240326--20240327.csv добавлен в БД
2024-08-16 19:27:41 INFO Файл poverki.delta.20240327--20240328.csv добавлен в БД
2024-08-16 19:28:01 INFO Файл poverki.delta.20240328--20240329.csv добавлен в БД
2024-08-16 19:28:23 INFO Файл poverki.delta.20240329--20240330.csv добавлен в БД
2024-08-16 19:28:25 INFO Файл poverki.delta.20240330--20240331.csv добавлен в БД
2024-08-16 19:28:28 INFO Файл poverki.delta.20240331--20240401.csv добавлен в БД
2024-08-16 19:29:15 INFO Файл poverki.delta.20240201--20240202.csv добавлен в БД
2024-08-16 19:29:40 INFO Файл poverki.delta.20240202--20240203.csv добавлен в БД
2024-08-16 19:29:45 INFO Файл poverki.delta.20240203--20240204.csv добавлен в БД
2024-08-16 19:29:51 INFO Файл poverki.delta.20240204--20240205.csv добавлен в БД
2024-08-16 19:30:15 INFO Файл poverki.delta.20240205--20240206.csv добавлен в БД
2024-08-16 19:31:02 INFO Файл poverki.delta.20240206--20240207.csv добавлен в БД
2024-08-16 19:31:22 INFO Файл poverki.delta.20240207--20240208.csv добавлен в БД
2024-08-16 19:31:40 INFO Файл poverki.delta.20240208--20240209.csv добавлен в БД
2024-08-16 19:32:00 INFO Файл poverki.delta.20240209--20240210.csv добавлен в БД
2024-08-16 19:32:06 INFO Файл poverki.delta.20240210--20240211.csv добавлен в БД
2024-08-16 19:32:10 INFO Файл poverki.delta.20240211--20240212.csv добавлен в БД
2024-08-16 19:32:45 INFO Файл poverki.delta.20240212--20240213.csv добавлен в БД
2024-08-16 19:33:09 INFO Файл poverki.delta.20240213--20240214.csv добавлен в БД
2024-08-16 19:33:30 INFO Файл poverki.delta.20240214--20240215.csv добавлен в БД
2024-08-16 19:33:46 INFO Файл poverki.delta.20240215--20240216.csv добавлен в БД
2024-08-16 19:34:13 INFO Файл poverki.delta.20240216--20240217.csv добавлен в БД
2024-08-16 19:34:17 INFO Файл poverki.delta.20240217--20240218.csv добавлен в БД
2024-08-16 19:34:21 INFO Файл poverki.delta.20240218--20240219.csv добавлен в БД
2024-08-16 19:34:52 INFO Файл poverki.delta.20240219--20240220.csv добавлен в БД
2024-08-16 19:35:36 INFO Файл poverki.delta.20240220--20240221.csv добавлен в БД
2024-08-16 19:35:51 INFO Файл poverki.delta.20240221--20240222.csv добавлен в БД
2024-08-16 19:36:20 INFO Файл poverki.delta.20240222--20240223.csv добавлен в БД
2024-08-16 19:36:24 INFO Файл poverki.delta.20240223--20240224.csv добавлен в БД
2024-08-16 19:36:27 INFO Файл poverki.delta.20240224--20240225.csv добавлен в БД
2024-08-16 19:36:29 INFO Файл poverki.delta.20240225--20240226.csv добавлен в БД
2024-08-16 19:36:58 INFO Файл poverki.delta.20240226--20240227.csv добавлен в БД
2024-08-16 19:37:20 INFO Файл poverki.delta.20240227--20240228.csv добавлен в БД
2024-08-16 19:37:35 INFO Файл poverki.delta.20240228--20240229.csv добавлен в БД
2024-08-16 19:37:49 INFO Файл poverki.delta.20240229--20240301.csv добавлен в БД
2024-08-16 19:38:10 INFO Файл poverki.delta.20240101--20240102.csv добавлен в БД
2024-08-16 19:38:12 INFO Файл poverki.delta.20240102--20240103.csv добавлен в БД
2024-08-16 19:38:14 INFO Файл poverki.delta.20240103--20240104.csv добавлен в БД
2024-08-16 19:38:19 INFO Файл poverki.delta.20240104--20240105.csv добавлен в БД
2024-08-16 19:38:22 INFO Файл poverki.delta.20240105--20240106.csv добавлен в БД
2024-08-16 19:38:24 INFO Файл poverki.delta.20240106--20240107.csv добавлен в БД
2024-08-16 19:38:26 INFO Файл poverki.delta.20240107--20240108.csv добавлен в БД
2024-08-16 19:38:33 INFO Файл poverki.delta.20240108--20240109.csv добавлен в БД
2024-08-16 19:38:57 INFO Файл poverki.delta.20240109--20240110.csv добавлен в БД
2024-08-16 19:39:36 INFO Файл poverki.delta.20240110--20240111.csv добавлен в БД
2024-08-16 19:40:02 INFO Файл poverki.delta.20240111--20240112.csv добавлен в БД
2024-08-16 19:40:28 INFO Файл poverki.delta.20240112--20240113.csv добавлен в БД
2024-08-16 19:40:33 INFO Файл poverki.delta.20240113--20240114.csv добавлен в БД
2024-08-16 19:40:40 INFO Файл poverki.delta.20240114--20240115.csv добавлен в БД
2024-08-16 19:41:22 INFO Файл poverki.delta.20240115--20240116.csv добавлен в БД
2024-08-16 19:41:45 INFO Файл poverki.delta.20240116--20240117.csv добавлен в БД
2024-08-16 19:42:10 INFO Файл poverki.delta.20240117--20240118.csv добавлен в БД
2024-08-16 19:42:36 INFO Файл poverki.delta.20240118--20240119.csv добавлен в БД
2024-08-16 19:42:59 INFO Файл poverki.delta.20240119--20240120.csv добавлен в БД
2024-08-16 19:43:16 INFO Файл poverki.delta.20240120--20240121.csv добавлен в БД
2024-08-16 19:43:18 INFO Файл poverki.delta.20240121--20240122.csv добавлен в БД
2024-08-16 19:43:52 INFO Файл poverki.delta.20240122--20240123.csv добавлен в БД
2024-08-16 19:44:20 INFO Файл poverki.delta.20240123--20240124.csv добавлен в БД
2024-08-16 19:44:38 INFO Файл poverki.delta.20240124--20240125.csv добавлен в БД
2024-08-16 19:44:55 INFO Файл poverki.delta.20240125--20240126.csv добавлен в БД
2024-08-16 19:45:14 INFO Файл poverki.delta.20240126--20240127.csv добавлен в БД
2024-08-16 19:45:17 INFO Файл poverki.delta.20240127--20240128.csv добавлен в БД
2024-08-16 19:45:21 INFO Файл poverki.delta.20240128--20240129.csv добавлен в БД
2024-08-16 19:45:53 INFO Файл poverki.delta.20240129--20240130.csv добавлен в БД
2024-08-16 19:46:14 INFO Файл poverki.delta.20240130--20240131.csv добавлен в БД
2024-08-16 19:46:44 INFO Файл poverki.delta.20240131--20240201.csv добавлен в БД
2024-08-16 19:47:22 INFO Файл poverki.delta.20231201--20231202.csv добавлен в БД
2024-08-16 19:47:27 INFO Файл poverki.delta.20231202--20231203.csv добавлен в БД
2024-08-16 19:47:31 INFO Файл poverki.delta.20231203--20231204.csv добавлен в БД
2024-08-16 19:48:03 INFO Файл poverki.delta.20231204--20231205.csv добавлен в БД
2024-08-16 19:48:29 INFO Файл poverki.delta.20231205--20231206.csv добавлен в БД
2024-08-16 19:48:50 INFO Файл poverki.delta.20231206--20231207.csv добавлен в БД
2024-08-16 19:49:12 INFO Файл poverki.delta.20231207--20231208.csv добавлен в БД
2024-08-16 19:49:36 INFO Файл poverki.delta.20231208--20231209.csv добавлен в БД
2024-08-16 19:49:37 INFO Файл poverki.delta.20231209--20231210.csv добавлен в БД
2024-08-16 19:49:41 INFO Файл poverki.delta.20231210--20231211.csv добавлен в БД
2024-08-16 19:50:09 INFO Файл poverki.delta.20231211--20231212.csv добавлен в БД
2024-08-16 19:50:32 INFO Файл poverki.delta.20231212--20231213.csv добавлен в БД
2024-08-16 19:50:51 INFO Файл poverki.delta.20231213--20231214.csv добавлен в БД
2024-08-16 19:51:19 INFO Файл poverki.delta.20231214--20231215.csv добавлен в БД
2024-08-16 19:51:47 INFO Файл poverki.delta.20231215--20231216.csv добавлен в БД
